,0,1,2,3,4,5,6,7,8,9,10,11
0,82,1,217,194,10326.939,1,35,1,0,12,1,-1
1,82,2,1004,2724,8028.1140000000005,1,32,24,57,34,12,62
2,82,3,177,320,7769.903,86,13,79,135,0,8,52
3,82,4,1028,648,7575.665,130,1,12,157,34,12,23
4,82,5,1111,1897,6996.635,74,31,29,0,45,21,-1
5,82,6,239,592,6757.2609999999995,97,41,63,174,87,0,52
6,82,7,741,2307,6153.5909999999985,141,38,36,13,0,31,52
7,82,8,779,2435,6122.613,33,95,13,125,0,49,-1
8,82,9,328,831,6090.946999999999,108,51,15,147,67,0,-1
9,82,10,268,5,5802.882,1,0,42,0,56,0,38
10,82,11,1259,3456,5481.522,152,12,50,120,0,24,38
11,82,12,1245,2109,5064.143,97,0,0,0,0,0,38
12,82,13,66,2439,5059.673,78,22,24,146,87,48,72
13,82,14,637,1477,5018.269,2,3,20,0,0,45,3
14,82,15,1011,162,4929.185,71,37,66,0,78,12,52
15,82,16,970,2387,4724.07,71,34,18,0,0,50,72
16,82,17,9,2679,4656.347,119,74,18,0,0,0,-1
17,82,18,708,117,4536.694,60,0,3,116,2,24,-1
18,82,19,346,924,4517.852,141,0,32,2,56,0,-1
19,82,20,687,2528,4450.195,13,0,71,0,45,9,3
20,82,21,1130,1016,4386.435,13,0,0,0,0,0,-1
21,82,22,961,524,4372.415,104,17,14,141,0,45,62
22,82,23,311,3136,4245.0779999999995,75,55,49,144,0,0,58
23,82,24,627,779,4241.0329999999985,2,0,0,0,0,0,62
24,82,25,859,469,4148.573,42,0,43,0,0,0,-1
25,82,26,1301,911,4051.922,24,0,0,0,0,3,62
26,82,27,535,3343,3971.3140000000003,1,0,0,0,78,0,-1
27,82,28,593,2802,3920.426,2,0,0,0,0,0,-1
28,82,29,727,2145,3856.5170000000003,113,24,19,141,0,1,38
29,82,30,543,2146,3796.4709999999995,104,45,28,159,0,37,52
30,82,31,361,913,3791.295,92,0,8,148,87,36,52
31,82,32,619,966,3735.883,119,0,0,0,0,0,43
32,82,33,113,371,3705.522,92,51,62,0,0,10,56
33,82,34,379,499,3697.137,51,0,0,0,0,0,23
34,82,35,952,2833,3645.95,82,0,50,0,0,4,-1
35,82,36,1043,3301,3570.492,42,0,65,0,0,0,-1
36,82,37,1257,1973,3570.1859999999997,145,11,14,90,0,0,52
37,82,38,427,2599,3512.5009999999997,54,24,46,168,0,9,53
38,82,39,1071,489,3462.1929999999998,112,20,30,24,0,0,62
39,82,40,1245,3218,3438.415,80,0,0,0,0,0,38
40,82,41,259,1350,3405.825,81,0,0,0,0,0,62
41,82,42,45,1809,3207.173,143,53,90,139,0,0,53
42,82,43,174,321,3190.4570000000012,87,0,0,0,0,0,58
43,82,44,593,65,3120.4359999999997,81,0,0,0,0,0,-1
44,82,45,223,571,3042.1090000000013,98,8,0,0,0,36,52
45,82,46,1053,285,3034.117,88,0,0,0,0,44,-1
46,82,47,1188,129,2974.0040000000013,89,0,0,0,0,0,23
47,82,48,364,618,2877.215,135,27,18,0,0,39,9
48,82,49,18,90,2835.341,85,0,0,0,0,0,69
49,82,50,643,1609,2790.833,93,0,0,0,0,0,-1
50,61,1,1004,2724,10495.508,1,35,1,1,1,23,62
51,61,2,217,194,8588.05,74,4,1,0,23,34,-1
52,61,3,328,831,7567.616,74,38,14,134,23,0,-1
53,61,4,1028,648,6662.438,51,13,12,135,78,45,23
54,61,5,177,320,6505.209,33,13,4,57,0,19,52
55,61,6,239,592,6457.093000000003,97,7,61,141,0,28,52
56,61,7,346,924,6383.175,119,5,38,157,45,16,-1
57,61,8,1111,1897,5874.348000000001,152,14,18,0,87,21,-1
58,61,9,268,5,5539.893,86,0,42,0,0,0,38
59,61,10,727,2145,5374.9969999999985,66,35,12,139,0,1,38
60,61,11,1245,2109,4785.935,97,0,0,0,0,0,38
61,61,12,961,524,4762.04,96,17,68,126,0,12,62
62,61,13,1043,3301,4743.446,2,65,67,0,0,0,-1
63,61,14,779,2435,4468.81,66,3,13,163,0,2,-1
64,61,15,627,779,4442.98,141,0,0,0,0,0,62
65,61,16,1011,162,4425.447,51,67,77,0,0,12,52
66,61,17,262,3349,4369.487,1,0,0,0,0,0,-1
67,61,18,360,3076,4353.452,90,2,13,68,0,39,-1
68,61,19,535,3343,4218.028,119,0,0,0,0,0,-1
69,61,20,741,2307,4210.575,77,65,29,120,0,0,52
70,61,21,9,2679,4169.933,13,0,18,0,0,0,-1
71,61,22,311,3136,4156.134,57,85,52,171,0,0,58
72,61,23,1130,1016,4075.027,24,0,0,0,0,0,-1
73,61,24,1301,911,3814.284,57,88,38,0,0,48,62
74,61,25,687,2528,3754.7870000000003,60,0,63,0,0,9,3
75,61,26,1071,489,3735.0559999999996,121,9,17,68,0,0,62
76,61,27,708,117,3623.7459999999996,80,0,0,117,0,46,-1
77,61,28,361,913,3539.765,91,0,10,0,67,36,52
78,61,29,637,1477,3539.579,81,0,25,0,0,4,3
79,61,30,513,1492,3450.9190000000012,141,0,0,0,0,0,58
80,61,31,259,1350,3445.9959999999996,75,0,3,0,0,0,62
81,61,32,379,499,3400.81,51,0,0,0,0,0,23
82,61,33,876,2054,3394.497000000001,71,0,0,0,0,0,-1
83,61,34,970,2387,3227.383,91,70,44,0,0,17,72
84,61,35,801,2244,3125.261,150,68,15,147,0,12,-1
85,61,36,174,321,3118.1009999999997,82,0,0,0,0,0,58
86,61,37,1257,1973,3104.967,139,25,21,133,0,0,52
87,61,38,593,2802,3030.0759999999996,80,0,0,0,0,0,-1
88,61,39,859,469,2951.698,84,0,43,0,0,0,-1
89,61,40,1245,3218,2909.006,83,0,0,0,0,0,38
90,61,41,593,65,2773.923,87,0,0,0,0,0,-1
91,61,42,703,1737,2754.14,88,0,0,0,0,0,4
92,61,43,543,2146,2741.282,114,73,48,0,0,0,52
93,61,44,1145,3379,2740.9829999999997,108,0,0,0,0,0,-1
94,61,45,374,1664,2737.192,93,0,0,0,0,0,38
95,61,46,739,1849,2676.734000000001,99,0,50,0,0,0,72
96,61,47,1188,129,2665.57,93,0,0,0,0,0,23
97,61,48,66,2439,2648.357,125,0,25,129,0,0,72
98,61,49,1259,3456,2615.798,92,69,0,173,0,0,38
99,61,50,735,2575,2610.738,91,0,0,0,0,0,52
100,145,1,1004,2724,12731.079,1,1,1,1,1,1,62
101,145,2,328,831,8393.489,74,10,17,156,23,0,-1
102,145,3,727,2145,7750.523,119,24,14,118,12,1,38
103,145,4,217,194,7015.335,86,9,2,0,56,5,-1
104,145,5,346,924,6796.699000000001,97,5,58,168,67,10,-1
105,145,6,239,592,6613.816999999999,86,7,76,140,0,19,52
106,145,7,1028,648,6055.894,75,13,30,157,0,4,23
107,145,8,1111,1897,5935.266,2,8,18,0,0,6,-1
108,145,9,177,320,5898.901999999999,60,57,10,2,0,9,52
109,145,10,961,524,5762.267,79,16,57,126,0,23,62
110,145,11,1043,3301,5429.5059999999985,119,45,0,0,0,0,-1
111,145,12,627,779,5230.1309999999985,97,0,0,0,0,0,62
112,145,13,268,5,4957.326,141,0,56,0,0,0,38
113,145,14,311,3136,4823.654,2,43,0,0,0,0,58
114,145,15,1301,911,4710.143,90,8,11,0,0,45,62
115,145,16,1071,489,4587.963,85,9,90,123,0,0,62
116,145,17,1130,1016,4584.444,141,0,0,0,0,0,-1
117,145,18,1245,1185,4553.852,152,0,0,0,1,0,38
118,145,19,1164,1816,4517.126,86,68,35,135,12,12,3
119,145,20,262,3349,4458.065,97,0,0,0,0,0,-1
120,145,21,801,2244,4429.944,126,13,21,126,0,1,-1
121,145,22,1011,162,4365.706,79,26,77,0,0,34,52
122,145,23,25,2675,4343.251,130,5,1,112,45,23,62
123,145,24,259,1350,4168.146,60,0,88,0,0,0,62
124,145,25,1245,2109,4004.8320000000003,13,0,0,0,0,0,38
125,145,26,379,499,3987.985,51,0,75,0,0,0,23
126,145,27,1212,2784,3835.272,90,93,46,2,0,27,62
127,145,28,739,1849,3820.9559999999997,66,0,54,0,0,0,72
128,145,29,1126,450,3812.9359999999997,57,50,46,13,0,3,14
129,145,30,687,2528,3700.3520000000003,81,0,47,0,0,21,3
130,145,31,779,2435,3682.844,100,3,57,0,0,17,-1
131,145,32,861,2650,3671.85,80,1,46,157,78,47,3
132,145,33,741,2307,3510.263,94,61,41,120,0,0,52
133,145,34,1056,2568,3489.165,42,0,0,0,0,0,-1
134,145,35,535,3343,3485.276,77,0,0,0,0,0,-1
135,145,36,513,1492,3344.4159999999997,80,0,0,0,0,0,58
136,145,37,708,117,3294.9629999999997,83,0,0,143,0,0,-1
137,145,38,970,2387,3290.927,103,21,55,0,0,37,72
138,145,39,637,1477,3252.1740000000004,94,0,47,0,0,0,3
139,145,40,433,2726,3246.479000000001,130,0,74,0,0,0,-1
140,145,41,1068,3267,3224.591,119,4,4,0,0,0,-1
141,145,42,9,2679,3048.05,89,0,33,0,0,0,-1
142,145,43,910,2774,3042.51,102,0,23,165,0,0,-1
143,145,44,174,321,3007.4640000000004,82,0,0,0,0,0,58
144,145,45,1196,2361,2998.482,0,24,24,190,0,31,52
145,145,46,703,1737,2991.583,88,0,0,0,0,0,4
146,145,47,1145,3379,2971.7729999999997,81,0,0,0,0,0,-1
147,145,48,161,315,2941.902,74,0,87,0,0,0,38
148,145,49,1245,3218,2898.2690000000002,87,0,0,0,0,0,38
149,145,50,360,3076,2875.954,120,62,79,160,0,41,-1
150,0,1,1004,2724,11582.16,1,1,1,1,1,12,62
151,0,2,727,2145,7725.231,97,35,14,126,12,34,38
152,0,3,821,2075,7537.347,1,7,68,0,1,23,-1
153,0,4,328,831,7251.666,86,8,30,171,34,0,-1
154,0,5,1043,3301,6795.2419999999975,74,9,0,0,87,0,-1
155,0,6,311,3136,6130.691,130,7,76,160,0,23,58
156,0,7,961,524,5202.267,78,32,2,155,0,34,62
157,0,8,801,2244,5123.009,112,1,25,135,0,12,-1
158,0,9,1028,648,5043.402,88,46,48,168,0,5,23
159,0,10,217,194,5014.32,42,9,28,0,0,18,-1
160,0,11,1071,489,4923.07,93,5,2,119,0,43,62
161,0,12,148,1325,4896.901,42,32,5,0,56,0,62
162,0,13,25,2675,4818.9259999999995,78,51,24,13,2,50,62
163,0,14,1111,1897,4759.5109999999995,51,20,42,0,0,10,-1
164,0,15,627,779,4665.898,141,0,0,0,0,0,62
165,0,16,239,592,4660.472,2,56,0,0,0,19,52
166,0,17,1301,911,4609.849,90,8,12,0,0,34,62
167,0,18,268,5,4521.4670000000015,2,0,0,0,0,0,38
168,0,19,177,320,4471.201,87,17,39,118,0,24,52
169,0,20,161,315,4341.489000000001,108,0,0,0,0,0,38
170,0,21,346,924,4246.146,60,85,77,118,0,15,-1
171,0,22,1130,1016,4226.1,24,0,0,0,0,0,-1
172,0,23,143,1692,4081.345,119,0,0,0,0,0,-1
173,0,24,259,1350,4047.5009999999997,24,0,3,0,0,0,62
174,0,25,888,2354,4013.2509999999997,97,28,11,115,78,12,47
175,0,26,1068,3267,3983.5159999999996,71,44,23,0,0,0,-1
176,0,27,484,3366,3891.885,86,0,0,0,0,0,38
177,0,28,1164,1816,3835.105,83,55,90,140,0,4,3
178,0,29,429,1635,3833.7470000000003,152,0,0,0,0,0,23
179,0,30,687,2528,3774.633,85,0,28,0,0,5,3
180,0,31,1011,162,3704.995,93,14,94,0,0,48,52
181,0,32,430,1088,3581.11,33,0,0,0,0,0,-1
182,0,33,379,499,3567.77,71,0,77,0,0,0,23
183,0,34,535,3343,3417.6809999999996,51,0,0,0,0,0,-1
184,0,35,361,913,3399.813,95,0,68,0,34,43,52
185,0,36,1245,3356,3333.833,141,0,0,0,56,0,38
186,0,37,739,1849,3283.764,79,0,0,0,0,0,72
187,0,38,876,2421,3263.2729999999997,86,0,0,0,45,0,-1
188,0,39,1245,1185,3165.4570000000012,81,0,0,0,34,0,38
189,0,40,1212,2784,2955.903,117,0,16,120,0,0,62
190,0,41,331,548,2935.3559999999998,89,0,0,0,0,0,-1
191,0,42,1186,2852,2897.643,83,0,0,0,0,0,-1
192,0,43,637,1477,2884.57,91,0,56,0,0,0,3
193,0,44,779,2435,2857.324,115,0,4,0,0,31,-1
194,0,45,262,3349,2826.323,82,0,0,0,0,0,-1
195,0,46,112,3105,2821.727000000001,75,0,0,0,0,0,38
196,0,47,970,2387,2753.6929999999998,128,49,43,0,0,43,72
197,0,48,1245,2109,2750.013,84,0,0,0,0,0,38
198,0,49,1248,938,2730.7690000000002,98,0,0,0,0,0,-1
199,0,50,1196,2361,2708.381,0,13,68,101,0,26,52
200,166,1,1004,2724,10212.513,86,24,1,1,12,50,62
201,166,2,821,2075,9173.916,1,78,9,0,1,49,-1
202,166,3,1043,3301,7611.961999999998,86,8,51,0,78,30,-1
203,166,4,311,3136,6955.001,108,12,32,136,0,12,58
204,166,5,328,831,6647.904,152,35,45,150,56,0,-1
205,166,6,1200,2955,6606.3830000000025,74,24,24,190,1,6,58
206,166,7,727,2145,6533.005,2,11,36,142,23,23,38
207,166,8,563,1975,6363.151,74,73,55,120,0,0,58
208,166,9,856,2376,6151.743,74,91,46,125,34,7,52
209,166,10,801,2244,5493.019,112,1,25,135,0,47,-1
210,166,11,261,2553,5397.919,108,57,35,35,23,47,38
211,166,12,148,1325,5206.255,60,32,11,0,56,0,62
212,166,13,961,524,5147.259,78,29,19,0,0,45,62
213,166,14,1071,489,5146.099,85,4,2,139,0,40,62
214,166,15,259,1350,5094.042,119,0,0,0,0,0,62
215,166,16,627,779,4754.804,2,0,92,0,0,0,62
216,166,17,239,592,4722.375,119,81,0,0,0,27,52
217,166,18,217,194,4410.5920000000015,78,55,58,0,0,21,-1
218,166,19,268,5,4409.976,2,0,0,0,0,0,38
219,166,20,1028,648,4394.248,100,79,93,13,0,2,23
220,166,21,876,2421,4374.247,119,0,0,0,78,7,-1
221,166,22,1130,1016,4361.907,152,0,0,0,0,0,-1
222,166,23,361,913,4323.708,90,0,68,0,45,29,52
223,166,24,1301,911,4321.856,95,25,23,0,0,34,62
224,166,25,535,3343,4310.259,2,0,0,0,0,0,-1
225,166,26,177,320,4299.291,89,8,41,131,0,26,52
226,166,27,379,499,4119.275,2,15,77,0,0,0,23
227,166,28,1111,1897,4114.486,60,74,70,0,0,30,-1
228,166,29,269,3307,4056.223,108,0,0,0,0,0,38
229,166,30,687,2528,4050.054,85,0,26,0,0,49,3
230,166,31,916,1472,3748.64,71,72,24,118,34,0,55
231,166,32,836,2529,3717.9109999999996,78,2,46,133,0,24,3
232,166,33,129,3510,3713.237,141,0,0,0,0,0,38
233,166,34,346,924,3656.9559999999997,79,0,63,138,0,25,-1
234,166,35,1186,2852,3631.962,60,0,0,0,0,0,-1
235,166,36,739,1849,3464.8109999999997,79,0,0,0,78,0,72
236,166,37,1011,162,3455.809,98,34,0,0,0,1,52
237,166,38,359,3085,3437.43,84,20,0,0,0,0,59
238,166,39,915,533,3416.823,85,74,85,0,0,0,-1
239,166,40,200,901,3338.738,152,0,0,0,0,0,38
240,166,41,484,3366,3220.893,66,0,0,0,0,0,38
241,166,42,161,315,3118.35,80,0,0,0,0,0,38
242,166,43,25,2675,3091.8190000000004,117,0,57,79,0,24,62
243,166,44,1245,3356,3055.1290000000013,79,0,0,0,0,0,38
244,166,45,429,1635,3019.6259999999997,89,0,0,0,0,0,23
245,166,46,143,1692,2897.208,82,0,0,0,0,0,-1
246,166,47,329,2172,2846.5040000000013,77,0,0,0,0,0,-1
247,166,48,1196,2361,2748.685,0,1,2,121,0,13,52
248,166,49,327,3429,2731.4790000000007,94,0,0,0,0,0,-1
249,166,50,703,1737,2695.933,103,80,0,0,0,0,4
250,124,1,177,2170,10270.726999999999,1,24,1,1,1,12,52
251,124,2,359,3010,8557.440999999999,1,1,24,57,1,15,59
252,124,3,1004,2724,8313.936,86,79,35,1,34,10,62
253,124,4,1257,3438,7256.566,108,1,13,0,34,3,52
254,124,5,821,2075,6638.3319999999985,1,0,58,0,23,20,-1
